Nome;Coordenador;Data de Encerramento;Montante da Oferta + lote adicional;% Captado;Montante Captado
SUNO ENERGIAS LIMPAS FUNDO DE INVESTIMENTO IMOBILIÁRIO;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;01/04/2025;R$ 403.948.708,65;-;R$ 166.023,90
LCP RENDA IMOBILIARIA FEEDER FUNDO DE INVESTIMENTO IMOBILIARIO;XP INVESTIMENTOS CCTVM S.A.;02/04/2025;R$ 375.000.000,00;81%;R$ 304.947.300,00
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI CRÉDITO ALOCAÇÃO ESTRATÉGICA;XP INVESTIMENTOS CCTVM S.A.;04/04/2025;R$ 375.000.005,52;30%;R$ 113.839.552,68
KINEA RENDIMENTOS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;XP INVESTIMENTOS CCTVM S.A.;09/04/2025;R$ 2.544.238.990,40;28%;R$ 712.587.682,99
FII GUARDIAN REAL ESTATE;BR PARTNERS BANCO DE INVESTIMENTO S.A.;30/12/2025;R$ 400.000.000,00;300%;R$ 1.276.971.217,15
XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII;XP INVESTIMENTOS CCTVM S.A.;29/12/2025;R$ 1.100.000.101,77;85%;R$ 937.633.237,13
REC MASTER FUNDO DE CRI COTAS AMORTIZÁVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO – RESPONSABILIDADE LIMITADA;BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A;16/12/2025;R$ 276.000.000,00;8,70%;R$ 24.062.020,00
FUNDO DE INVESTIMENTOS IMOBILIÁRIOS DE PERMUTA FINANCEIRA LOTES (MEZANINO) RESPONSABILIDADE LIMITADA;a ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A;06/06/2025;R$ 100.000.000,00;100%;R$ 100.000.000,00
MANATI RENDA CDI FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CCTVM S.A.;16/04/2025;R$ 343.750.000,00;53%;R$ 181.421.000,00
TJK RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;BR-CAPITAL DTVM S.A.;22/04/2025;R$ 159.600.000,00;31%;R$ 49.845.320,00
AZ QUEST PANORAMA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO;XP INVESTIMENTOS CCTVM S.A.;28/05/2025;R$ 454.963.231,80;1%;R$ 5.210.983,80
FUNDO DE INVESTIMENTO IMOBILIARIO TG RENDA URBANA FEEDER - RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CCTVM S.A.;05/06/2025;R$ 375.000.000,00;64%;R$ 239.687.200,00
VERDE A&I CEDRO PORTFOLIO RENDA FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CCTVM S.A.;06/06/2025;R$ 250.000.000,00;66%;R$ 166.039.000,00
JS CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;BANCO SAFRA S/A;30/06/2025;R$ 405.905.000,00;100%;R$ 405.905.000,00
VALORA CRI CDI RENDA MAIS FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CCTVM S.A.;03/07/2025;R$ 500.000.000,00;80%;R$ 401.768.500,00
SPX DESENVOLVIMENTO DE GALPÕES LOGÍSTICOS FEEDER INSTITUCIONAL FII RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CCTVM S.A.;03/07/2025;R$ 187.500.006,20;44%;R$ 83.097.640,73
XP CDI LIQUIDEZ 94 JUNHO 2026 FUNDO DE INVESTIMENTO IMOBILIARIO;XP INVESTIMENTOS CCTVM S.A.;16/07/2025;R$ 550.000.000,00;91%;R$ 500.000.000,00
FUNDO DE INVESTIMENTO IMOBILIÁRIO TG RENDA IMOBILIÁRIA FEEDER - RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CCTVM S.A.;06/08/2025;R$ 500.000.000,00;34%;R$ 167.887.340,00
FUNDO DE INVESTIMENTO IMOBILIÁRIO XP RENDA IMOBILIÁRIA FEEDER - RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CCTVM S.A.;06/08/2025;R$ 490.000.000,00;71%;R$ 347.744.600,00
EXA RENDA HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIARIO;XP INVESTIMENTOS CCTVM S.A.;15/08/2025;R$ 250.000.000,00;41%;R$ 102.538.800,00
BRESCO LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;ITAÚ BBA ASSESSORIA FINANCEIRA S.A.;26/12/2025;R$ 308.969.162,10;80%;R$ 248.595.239,54
CAPITÂNIA SECURITIES II FII;BR PARTNERS BANCO DE INVESTIMENTO S.A.;08/12/2025;R$ 500.000.003,30;35%;R$ 175.022.924,02
BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;BTG PACTUAL SERVIÇOS FINANCEIROS S.A.;12/12/2025;R$ 449.999.928,41;100%;R$ 450.515.807,61
VINCI OPORTUNIDADE LOGÍSTICA FII RESPONSABILIDADE LIMITADA;BTG PACTUAL SERVIÇOS FINANCEIROS S.A.;07/01/2026;R$ 200.000.000,00;32%;R$ 64.800.000,00
CATUAÍ VISTA FL;BANCO DAYCOVAL S/A;19/12/2026;R$ 250.000.000,00;62%;R$ 155.424.600,00
KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;ITAU BBA ASSESSORIA FINANCEIRA S.A;27/08/2025;R$ 624.998.288,38;100%;R$ 624.998.389,64
LCP PREFIXADO FEEDER FUNDO DE INVESTIMENTO IMOBILIÁRIO;XP INVESTIMENTOS CCTVM S.A.;04/09/2025;R$ 562.500.000,00;100%;R$ 562.500.000,00
XP HABITAT RENDA IMOBILIÁRIA FEEDER FUNDO DE INVESTIMENTO IMOBILIÁRIO;XP INVESTIMENTOS CCTVM S.A.;04/09/2025;R$ 500.000.000,00;100%;R$ 500.000.000,00
BRC RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO;BR-CAPITAL DTVM S.A.;11/09/2025;R$ 130.000.000,00;100%;R$ 130.000.000,00
EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;EXES SERVICOS FINANCEIROS LTDA;25/09/2025;R$ 125.000.011,74;56%;R$ 69.470.389,23
AZ QUEST PANORAMA RENDA CDI FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CCTVM S.A.;03/10/2025;R$ 437.500.000,00;100%;R$ 437.465.000,00
MAUA CAPITAL LAJES CORPORATIVAS FEEDER FUNDO DE INVESTIMENTO IMOBILIARIO - RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CCTVM S.A.;08/10/2025;R$ 876.136.700,00;100%;R$ 876.136.700,00
NEST EAGLE FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;BANCO DAYCOVAL S.A.;08/10/2025;R$ 360.220.000,00;8%;R$ 28.899.730,16
RBR PLUS MULTIESTRATÉGIA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;04/11/2025;R$ 1.299.999.992,44;87%;R$ 1.126.777.598,52
HEDGE CRÉDITO CDI RENDA MAIS FUNDO DE FUNDO DE INVESTIMENTO IMOBILIÁRIO;XP INVESTIMENTOS CCTVM S.A.;05/11/2025;R$ 375.000.000,00;31%;R$ 117.315.600,00
FUNDO DE INVESTIMENTO IMOBILIARIO JHSF CAPITAL MALLS FEEDER - RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CCTVM S.A.;11/11/2025;R$ 750.000.000,00;87%;R$ 655.370.850,00
KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;ITAÚ BBA ASSESSORIA FINANCEIRA S.A;12/11/2025;R$ 594.900.000,00;51%;R$ 302.643.971,13
VALORA HEDGE FUND AGRO - FIAGRO-IMOBILIÁRIO;BANCO DAYCOVAL S.A.;06/12/2025;R$ 80.318.730,24;31%;R$ 25.001.000,64
PÁTRIA LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;ITAÚ BBA ASSESSORIA FINANCEIRA S.A;28/11/2025;R$ 2.000.000.160,14;70%;R$ 1.397.879.101,82
BRESCO LOGÍSTICA;ITAÚ BBA ASSESSORIA FINANCEIRA S.A;16/12/2025;R$ 247.175.329,68;100%;R$ 248.595.239,54
FII SANTANDER PAPÉIS IMOBILIÁRIOS;BANCO SANTANDER (BRASIL) S.A;02/12/2025;R$ 142.058.244,58;98%;R$ 139.993.426,71
FII VINCI MOZAK RESIDENCIAL II;BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A;21/10/2025;R$ 125.000.000,00;100%;R$ 65.590.000,00
FII MERITO DESENV. IMOBILIÁRIO;MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;26/11/2025;R$ 68.000.000,00;100%;R$ 67.088.400,00
TRX REAL ESTATE II;APEX GROUP;23/12/2025;R$ 40.000.250,00;100%;R$ 40.000.250,00
BGR GALPÕES LOGÍSTICOS I FEEDER FUNDO DE INVESTIMENTO IMOBILIÁRIO;XP INVESTIMENTOS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;16/12/2025;R$ 253.200.000,00;100%;R$ 253.200.000,00
FUNDO DE INVESTIMENTO IMOBILIÁRIO WINGS RENDA IMOBILIÁRIA FEEDER - RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS CORRETORA DE;24/03/2026;R$ 277.500.000,00;100%;R$ 277.500.000,00
KINEA RENDIMENTOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;ITAÚ BBA ASSESSORIA FINANCEIRA S.A;03/03/2026;R$ 2.497.554.380,24;100%;R$ 3.185.251.272,87
FII RBR RENDIMENTO HIGH GRADE;BTG PACTUAL SERVIÇOS FINANCEIROS S.A.;07/11/2025;R$ 224.999.892,00;51%;R$ 114.362.808,00
FII GUARDIAN MULTIESTRATÉGIA IMOB.;BR PARTNERS BANCO DE INVESTIMENTO S.A.;13/02/2026;R$ 50.000.008,80;100%;R$ 63.045.576,50
FII GALAPAGOS DES. LOGÍSTICO;GALAPAGOS CAPITAL;10/03/2026;R$ 40.000.096,08;100%;R$ 40.000.096,08
FII XP MALLS;XP INVESTIMENTOS;16/03/2026;R$ 600.000.024,00;100%;R$ 621.725.321,00
FII MERITO DESENV. IMOBILIÁRIO;MÉRITO DESENVOLVIMENTO;26/11/2025;R$ 73.950.000,00;90%;R$ 67.008.400,00
KINEA DESENVOLVIMENTO LOGÍSTICO II FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;ITAÚ BBA ASSESSORIA FINANCEIRA S.A;03/02/2026;R$ 765.000.000,00;45%;R$ 346.459.690,00
CAPITANIA SECURITIES;BR PARTNERS;24/03/2026;R$ 300.000.001,28;45%;R$ 136.704.494,08
FII V2 RENDA IMOBILIÁRIA;BTG PACTUAL SERVIÇOS FINANCEIROS S.A.;08/04/2026;R$ 265.001.913,05;33%;R$ 88.650.244,80
XP LOG;XP INVESTIMENTOS;01/04/2026;R$ 1.000.000.051,50;120%;R$ 1.200.000.044,00
FII ALIANZA RENDA IMOBILIÁRIA;XP INVESTIMENTOS;06/04/2026;R$ 528.000.000,00;84%;R$ 447.383.207,04
GAZIT MALLS;BTG PACTUAL SERVIÇOS FINANCEIROS S.A.;24/03/2026;R$ 70.557.946,20;100%;R$ 70.557.946,20
HEDGE BRASIL SHOPPINGS;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS;24/04/2026;R$ 751.900.005,32;41%;R$ 309.111.591,62
FII ÁRTEMIS;TERRA INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;14/01/2026;R$ 40.000.000,00;85%;R$ 34.950.300,00
BTG LOGÍSTICA;BTG PACTUAL;12/12/2025;R$ 450.000.000,00;100%;R$ 450.515.807,61
FII REAL INVESTOR;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;16/12/2025;R$ 100.000.000,00;60%;R$ 66.060.806,60
FII CAPITÂNIA SHOPPINGS;BR PARTNERS BANCO DE INVESTIMENTO S.A;22/05/2026;R$ 499.999.995,00;98%;R$ 488.970.292,50
FII CAPITÂNIA LOGÍSTICA;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;06/05/2026;R$ 680.000.001,92;20%;R$ 137.357.932,80
RIO BRAVO RENDA VAREJO;RIO BRAVO;29/05/2026;R$ 80.000.003,46;120%;R$ 96.543.483,94
FII KINEA DESENVOLVIMENTO LOGÍSTICO II;ITAÚ BBA ASSESSORIA FINANCEIRA S.A;29/05/2026;R$ 444.000.000,00;100%;R$ 443.999.950,00
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA MALLS FEEDER – RESPONSABILIDADE LIMITADA;XP INVESTIMENTOS;08/06/2026;R$ 820.000.032,00;24%;R$ 201.637.252,52
